keys, function
Furthermore, add_idea
In addition to, add_idea
For instance, add_idea
For example, add_idea
As an example, add_idea
Additionally, add_idea
Moreover, add_idea
As well as, add_idea
Another reason, add_idea
Along with, add_idea
Coupled with, add_idea
Again, add_idea
Correspondingly, add_idea
In addition, add_idea
Indeed,add_idea
In fact, add_idea
Identically, add_idea
Likewise, add_idea
Similarly, add_idea
One other thing, add_idea
Accordingly, show_cause
As a result, show_cause
Because, show_cause
Consequently, show_cause
Due to, show_cause
For this reason, show_cause
For this purpose, show_cause
Hence, show_cause
Otherwise, show_cause
Since, show_cause
So then, show_cause
Subsequently, show_cause
Therefore, show_cause
Thereupon,show_cause
This is why, show_cause
Thus, show_cause
Wherefore, show_cause
Following this, show_cause
As you can see, show_cause
For all of those reasons, show_cause
So, show_cause
Comparatively, show_contrast
Different from, show_contrast
Even though, show_contrast
However, show_contrast
Although, show_contrast
Conversely, show_contrast
Instead, show_contrast
In comparison, show_contrast
Nevertheless, show_contrast
In contrast, show_contrast
Whereas, show_contrast
Yet, show_contrast
On the other hand, show_contrast
On the contrary, show_contrast
Other than, show_contrast
Outside of, show_contrast
Besides, show_contrast
Otherwise, show_contrast
Admittedly, add_emphasis
Above all, add_emphasis
As a rule, add_emphasis
As usual, add_emphasis
Assuredly, add_emphasis
Certainly, add_emphasis
No doubt, add_emphasis
Undoubtedly, add_emphasis
Obviously, add_emphasis
Of course, add_emphasis
Ordinarily, add_emphasis
Particularly, add_emphasis
Singularly, add_emphasis
Unquestionably, add_emphasis
Chiefly, add_emphasis
Especially, add_emphasis
Granted, add_emphasis
Generally speaking, add_emphasis
For the most part, add_emphasis
In this situations, add_emphasis
